surah_number,ayah_number,page_number,x,y,width,height,polygon
78,6,582,10.17915309446254,28.73458200091366,25.0,4.933759707629054,"[{""x"": 10.17915309446254, ""y"": 28.73458200091366, ""width"": 25.0, ""height"": 4.933759707629054}, {""x"": 81.10749185667753, ""y"": 34.03380539058931, ""width"": 8.631921824104234, ""height"": 3.7916857012334404}]"
78,7,582,60.58631921824104,33.485609867519415,17.34527687296417,4.476930105070808,"[{""x"": 60.586319218241044, ""y"": 33.485609867519415, ""width"": 17.34527687296417, ""height"": 4.476930105070808}]"
78,8,582,35.01628664495114,33.62265874828689,22.068403908794785,4.751027866605756,"[{""x"": 35.01628664495114, ""y"": 33.62265874828689, ""width"": 22.068403908794785, ""height"": 4.751027866605756}]"
78,9,582,9.93485342019544,33.75970762905436,21.98697068403909,4.705344906349931,"[{""x"": 9.93485342019544, ""y"": 33.75970762905436, ""width"": 21.986970684039086, ""height"": 4.705344906349931}, {""x"": 80.37459283387622, ""y"": 38.73915029693924, ""width"": 9.446254071661238, ""height"": 3.837368661489265}]"
78,10,582,49.1042345276873,38.41936957514847,28.175895765472315,4.38556418455916,"[{""x"": 49.1042345276873, ""y"": 38.41936957514847, ""width"": 28.175895765472315, ""height"": 4.3855641845591595}]"
78,11,582,14.006514657980455,38.46505253540429,32.00325732899022,4.248515303791685,"[{""x"": 14.006514657980457, ""y"": 38.46505253540429, ""width"": 32.00325732899022, ""height"": 4.248515303791685}]"
78,12,582,49.6742671009772,43.21608040201005,40.06514657980456,4.705344906349931,"[{""x"": 49.6742671009772, ""y"": 43.21608040201005, ""width"": 40.06514657980456, ""height"": 4.705344906349931}]"
78,13,582,13.925081433224756,43.17039744175423,31.840390879478825,4.38556418455916,"[{""x"": 13.925081433224756, ""y"": 43.170397441754226, ""width"": 31.840390879478825, ""height"": 4.3855641845591595}]"
78,14,582,46.498371335504885,47.87574234810416,43.648208469055376,4.522613065326634,"[{""x"": 46.498371335504885, ""y"": 47.875742348104154, ""width"": 43.648208469055376, ""height"": 4.522613065326634}]"
78,15,582,13.925081433224756,48.01279122887164,29.31596091205212,4.659661946094107,"[{""x"": 13.925081433224756, ""y"": 48.012791228871635, ""width"": 29.31596091205212, ""height"": 4.659661946094107}]"
78,16,582,71.09120521172639,52.48972133394244,18.648208469055376,4.568296025582458,"[{""x"": 71.09120521172639, ""y"": 52.48972133394244, ""width"": 18.648208469055376, ""height"": 4.568296025582458}]"
78,17,582,29.88599348534202,52.62677021470992,37.94788273615635,4.842393787117405,"[{""x"": 29.88599348534202, ""y"": 52.626770214709914, ""width"": 37.94788273615635, ""height"": 4.842393787117405}]"
78,18,582,10.01628664495114,53.22064869803563,16.775244299674267,4.431247144814984,"[{""x"": 10.01628664495114, ""y"": 53.22064869803563, ""width"": 16.775244299674267, ""height"": 4.431247144814984}, {""x"": 60.34201954397395, ""y"": 57.19506624029237, ""width"": 29.47882736156352, ""height"": 4.79671082686158}]"
78,19,582,14.006514657980455,57.46916400182732,42.671009771986974,4.476930105070808,"[{""x"": 14.006514657980457, ""y"": 57.46916400182732, ""width"": 42.671009771986974, ""height"": 4.476930105070808}]"
78,20,582,52.03583061889251,62.22019186843307,37.70358306188925,4.476930105070808,"[{""x"": 52.03583061889251, ""y"": 62.22019186843307, ""width"": 37.70358306188925, ""height"": 4.476930105070808}]"
78,21,582,13.843648208469055,62.40292370945637,34.77198697068404,4.476930105070808,"[{""x"": 13.843648208469055, ""y"": 62.402923709456374, ""width"": 34.77198697068404, ""height"": 4.476930105070808}]"
78,22,582,71.00977198697068,67.1082686158063,18.973941368078176,4.111466423024212,"[{""x"": 71.00977198697068, ""y"": 67.1082686158063, ""width"": 18.973941368078176, ""height"": 4.111466423024212}]"
78,23,582,41.61237785016287,66.78848789401553,26.140065146579804,4.6139789858382825,"[{""x"": 41.612377850162865, ""y"": 66.78848789401553, ""width"": 26.140065146579804, ""height"": 4.6139789858382825}]"
78,24,582,10.912052117263844,66.97121973503883,27.68729641693811,4.522613065326634,"[{""x"": 10.912052117263844, ""y"": 66.97121973503883, ""width"": 27.68729641693811, ""height"": 4.522613065326634}, {""x"": 75.1628664495114, ""y"": 71.81361352215625, ""width"": 14.576547231270359, ""height"": 4.29419826404751}]"
78,25,582,44.21824104234528,71.81361352215625,28.01302931596092,4.339881224303334,"[{""x"": 44.21824104234528, ""y"": 71.81361352215625, ""width"": 28.013029315960914, ""height"": 4.339881224303334}]"
78,26,582,21.172638436482085,71.63088168113293,19.54397394136808,4.522613065326634,"[{""x"": 21.172638436482085, ""y"": 71.63088168113293, ""width"": 19.54397394136808, ""height"": 4.522613065326634}]"
