"mushaf_key,surah_number,ayah_number,page_number,x,y,width,height,polygon",surah_number,ayah_number,page_number,x,y,width,height,polygon
douri,69,16,567,7.510548523206751,37.55139333,70.12658227848101,4.979442668,"[{""x"": 7.510548523206751, ""y"": 37.5513933302878, ""width"": 70.12658227848101, ""height"": 4.9794426678848795}, {""x"": 80.33755274261604, ""y"": 42.62220191868433, ""width"": 11.89873417721519, ""height"": 4.705344906349931}]"
douri,69,17,567,28.945147679324894,42.57651895842851,47.17299578059072,5.162174508908177,"[{""x"": 28.945147679324894, ""y"": 42.57651895842851, ""width"": 47.17299578059072, ""height"": 5.162174508908177}]"
douri,69,18,567,7.341772151898734,42.30242119689356,17.21518987341772,5.253540429419826,"[{""x"": 7.341772151898734, ""y"": 42.30242119689356, ""width"": 17.21518987341772, ""height"": 5.253540429419826}, {""x"": 36.28691983122363, ""y"": 47.55596162631338, ""width"": 55.18987341772152, ""height"": 5.025125628140704}]"
douri,69,19,567,7.510548523206751,47.51027866605756,24.72573839662447,4.842393787117405,"[{""x"": 7.510548523206751, ""y"": 47.51027866605756, ""width"": 24.72573839662447, ""height"": 4.842393787117405}, {""x"": 80.084388185654, ""y"": 53.174965737779814, ""width"": 11.89873417721519, ""height"": 3.9744175422567385}]"
douri,69,20,567,46.16033755274261,52.94655093650068,29.282700421940927,4.431247144814984,"[{""x"": 46.16033755274261, ""y"": 52.94655093650068, ""width"": 29.282700421940927, ""height"": 4.431247144814984}]"
douri,69,21,567,22.953586497890296,52.90086797624486,19.49367088607595,4.202832343535861,"[{""x"": 22.953586497890296, ""y"": 52.90086797624486, ""width"": 19.49367088607595, ""height"": 4.202832343535861}]"
douri,69,22,567,7.510548523206751,52.39835541343079,11.308016877637131,4.6139789858382825,"[{""x"": 7.510548523206751, ""y"": 52.398355413430785, ""width"": 11.308016877637131, ""height"": 4.6139789858382825}, {""x"": 84.38818565400844, ""y"": 57.74326176336226, ""width"": 8.016877637130802, ""height"": 4.202832343535861}]"
douri,69,23,567,16.877637130801688,57.42348104157149,63.37552742616034,4.796710827,"[{""x"": 16.877637130801688, ""y"": 57.42348104157149, ""width"": 63.37552742616034, ""height"": 4.79671082686158}]"
douri,69,24,567,7.172995780590717,57.37779808131567,6.160337552742616,4.339881224303334,"[{""x"": 7.172995780590717, ""y"": 57.37779808131567, ""width"": 6.160337552742616, ""height"": 4.339881224303334}, {""x"": 61.09704641350211, ""y"": 62.35724074920055, ""width"": 31.223628691983123, ""height"": 4.79671082686158}]"
douri,69,25,567,21.94092827,62.03746002740977,34.26160337552743,5.116491548652353,"[{""x"": 21.940928270042196, ""y"": 62.03746002740977, ""width"": 34.26160337552743, ""height"": 5.116491548652353}]"
douri,69,26,567,7.848101265822785,62.265874828688894,9.957805907172997,4.751027866605756,"[{""x"": 7.848101265822785, ""y"": 62.265874828688894, ""width"": 9.957805907172995, ""height"": 4.751027866605756}, {""x"": 77.38396624472574, ""y"": 67.93056190041115, ""width"": 14.59915611814346, ""height"": 3.837368661489265}]"
douri,69,27,567,45.063291139240505,67.42804933759707,28.18565400843882,4.522613065326634,"[{""x"": 45.063291139240505, ""y"": 67.42804933759707, ""width"": 28.18565400843882, ""height"": 4.522613065326634}]"
douri,69,28,567,18.649789029535864,67.38236637734126,22.109704641350213,4.568296025582458,"[{""x"": 18.649789029535864, ""y"": 67.38236637734126, ""width"": 22.109704641350213, ""height"": 4.568296025582458}]"
