number,surah_id,no_ayah,page_id,x,y
706,5,37,114,264,102
707,5,38,114,334,181
708,5,39,114,160,220
709,5,40,114,124,299
710,5,41,114,63,614
711,5,42,115,211,181
712,5,43,115,186,258
713,5,44,115,129,456
714,5,45,115,60,614
715,5,46,116,55,143
716,5,47,116,150,222
717,5,48,116,189,458
718,5,49,116,121,575
719,5,50,116,59,615
720,5,51,117,343,145
721,5,52,117,167,224
722,5,53,117,232,302
723,5,54,117,363,459
724,5,55,117,195,498
725,5,56,117,161,538
726,5,57,117,59,617
727,5,58,118,334,105
728,5,59,118,59,145
729,5,60,118,214,263
730,5,61,118,397,342
731,5,62,118,211,381
732,5,63,118,339,460
733,5,64,118,60,617
734,5,65,119,141,103
735,5,66,119,166,222
736,5,67,119,315,340
737,5,68,119,203,457
738,5,69,119,125,536
739,5,70,119,59,615
740,5,71,120,57,104
741,5,72,120,262,260
742,5,73,120,60,340
743,5,74,120,61,380
744,5,75,120,274,496
745,5,76,120,83,536
746,5,77,120,59,616
747,5,78,121,316,143
748,5,79,121,204,183
749,5,80,121,310,302
750,5,81,121,267,380
751,5,82,121,245,537
752,5,83,121,58,615
753,5,84,122,235,105
754,5,85,122,310,183
755,5,86,122,272,224
756,5,87,122,321,302
757,5,88,122,177,340
758,5,89,122,59,536
759,5,90,122,58,615
760,5,91,123,205,141
761,5,92,123,315,221
762,5,93,123,318,339
763,5,94,123,104,416
764,5,95,123,60,614
765,5,96,124,307,145
766,5,97,124,318,264
767,5,98,124,304,302
768,5,99,124,261,342
769,5,100,124,269,421
770,5,101,124,60,500
771,5,102,124,112,538
772,5,103,124,58,617
773,5,104,125,275,141
774,5,105,125,225,220
775,5,106,125,119,418
776,5,107,125,125,535
777,5,108,125,59,614
778,5,109,126,242,106
779,5,110,126,296,422
780,5,111,126,58,461
781,5,112,126,324,576
782,5,113,126,62,618
783,5,114,127,313,144
784,5,115,127,62,182
785,5,116,127,128,339
786,5,117,127,250,458
787,5,118,127,197,497
788,5,119,127,83,576
789,5,120,127,58,616
790,6,1,128,126,184
791,6,2,128,344,263
792,6,3,128,223,303
793,6,4,128,166,343
794,6,5,128,60,380
